location,cause,year,val
Afghanistan,Transport injuries,2020,1508.346929
Afghanistan,Transport injuries,2021,1477.297922
Afghanistan,Unintentional injuries,2017,2874.000582
Afghanistan,Unintentional injuries,2018,2741.620342
Afghanistan,Unintentional injuries,2019,2742.453521
Afghanistan,Unintentional injuries,2020,2683.219972
Afghanistan,Unintentional injuries,2021,2569.998509
Albania,Cardiovascular diseases,2017,8661.414391
Albania,Cardiovascular diseases,2018,8729.90053
Albania,Cardiovascular diseases,2019,8844.297559
Albania,Cardiovascular diseases,2020,8757.015544
Albania,Cardiovascular diseases,2021,8933.392889
Albania,Chronic respiratory diseases,2017,771.095376
Albania,Chronic respiratory diseases,2018,783.0662829
Albania,Chronic respiratory diseases,2019,800.1687922
Albania,Chronic respiratory diseases,2020,791.9965305
Albania,Chronic respiratory diseases,2021,810.832242
Albania,Diabetes and kidney diseases,2017,1009.062269
Albania,Diabetes and kidney diseases,2018,1034.205851
Albania,Diabetes and kidney diseases,2019,1063.991123
Albania,Diabetes and kidney diseases,2020,1056.13154
Albania,Diabetes and kidney diseases,2021,1080.346945
Albania,Digestive diseases,2017,700.6235167
Albania,Digestive diseases,2018,698.4933852
Albania,Digestive diseases,2019,701.1412534
Albania,Digestive diseases,2020,673.3641522
Albania,Digestive diseases,2021,680.0085073
Albania,Enteric infections,2017,38.32412379
Albania,Enteric infections,2018,36.98429329
Albania,Enteric infections,2019,34.37133279
Albania,Enteric infections,2020,31.93266041
Albania,Enteric infections,2021,29.90535552
Albania,HIV/AIDS and sexually transmitted infections,2017,17.82363131
Albania,HIV/AIDS and sexually transmitted infections,2018,17.62438951
Albania,HIV/AIDS and sexually transmitted infections,2019,17.48404373
Albania,HIV/AIDS and sexually transmitted infections,2020,17.26209161
Albania,HIV/AIDS and sexually transmitted infections,2021,17.10471766
Albania,Maternal and neonatal disorders,2017,981.4898952
Albania,Maternal and neonatal disorders,2018,956.5664757
Albania,Maternal and neonatal disorders,2019,934.9322531
Albania,Maternal and neonatal disorders,2020,892.188849
Albania,Maternal and neonatal disorders,2021,847.45618
Albania,Mental disorders,2017,1624.903132
Albania,Mental disorders,2018,1629.391728
Albania,Mental disorders,2019,1633.933839
Albania,Mental disorders,2020,1805.547233
Albania,Mental disorders,2021,1857.12463
Albania,Musculoskeletal disorders,2017,2653.147633
Albania,Musculoskeletal disorders,2018,2684.687337
Albania,Musculoskeletal disorders,2019,2718.57916
Albania,Musculoskeletal disorders,2020,2745.492019
Albania,Musculoskeletal disorders,2021,2757.103971
Albania,Neglected tropical diseases and malaria,2017,24.9673744
Albania,Neglected tropical diseases and malaria,2018,26.03221125
Albania,Neglected tropical diseases and malaria,2019,25.48979423
Albania,Neglected tropical diseases and malaria,2020,24.59533938
Albania,Neglected tropical diseases and malaria,2021,24.8936134
Albania,Neoplasms,2017,3781.637476
Albania,Neoplasms,2018,3828.375851
Albania,Neoplasms,2019,3894.806465
Albania,Neoplasms,2020,3712.983414
Albania,Neoplasms,2021,3775.571712
Albania,Neurological disorders,2017,1727.779577
Albania,Neurological disorders,2018,1747.627571
Albania,Neurological disorders,2019,1775.449194
Albania,Neurological disorders,2020,1765.451619
Albania,Neurological disorders,2021,1794.146606
Albania,Nutritional deficiencies,2017,238.9445739
Albania,Nutritional deficiencies,2018,230.0028737
Albania,Nutritional deficiencies,2019,224.169005
Albania,Nutritional deficiencies,2020,219.6190053
Albania,Nutritional deficiencies,2021,221.8021634
Albania,Other infectious diseases,2017,99.35952612
Albania,Other infectious diseases,2018,103.3460991
Albania,Other infectious diseases,2019,99.65273862
Albania,Other infectious diseases,2020,91.02466831
Albania,Other infectious diseases,2021,90.25256309
Albania,Other non-communicable diseases,2017,1350.778375
Albania,Other non-communicable diseases,2018,1345.30879
Albania,Other non-communicable diseases,2019,1344.779196
Albania,Other non-communicable diseases,2020,1316.21
Albania,Other non-communicable diseases,2021,1303.835144
Albania,Respiratory infections and tuberculosis,2017,660.5320843
Albania,Respiratory infections and tuberculosis,2018,647.1186031
Albania,Respiratory infections and tuberculosis,2019,638.9749908
Albania,Respiratory infections and tuberculosis,2020,3264.368505
Albania,Respiratory infections and tuberculosis,2021,4771.131237
Albania,Self-harm and interpersonal violence,2017,492.2498854
Albania,Self-harm and interpersonal violence,2018,489.1716315
Albania,Self-harm and interpersonal violence,2019,478.6349819
Albania,Self-harm and interpersonal violence,2020,410.5186756
Albania,Self-harm and interpersonal violence,2021,420.1209857
Albania,Sense organ diseases,2017,868.3541157
Albania,Sense organ diseases,2018,884.8880958
Albania,Sense organ diseases,2019,903.5669904
Albania,Sense organ diseases,2020,919.5679671
Albania,Sense organ diseases,2021,932.2008302
Albania,Skin and subcutaneous diseases,2017,402.6766324
Albania,Skin and subcutaneous diseases,2018,402.9232179
Albania,Skin and subcutaneous diseases,2019,402.8902492
Albania,Skin and subcutaneous diseases,2020,402.9227068
Albania,Skin and subcutaneous diseases,2021,401.1498726
Albania,Substance use disorders,2017,335.6696102
Albania,Substance use disorders,2018,337.1346989
Albania,Substance use disorders,2019,334.7577372
Albania,Substance use disorders,2020,322.1639403
Albania,Substance use disorders,2021,315.7903809
Albania,Transport injuries,2017,529.3924402
Albania,Transport injuries,2018,518.1958279
Albania,Transport injuries,2019,506.8925092
Albania,Transport injuries,2020,435.1263276
Albania,Transport injuries,2021,444.2643634
Albania,Unintentional injuries,2017,1705.173773
Albania,Unintentional injuries,2018,1684.618353
Albania,Unintentional injuries,2019,1744.480039
Albania,Unintentional injuries,2020,1607.969016
Albania,Unintentional injuries,2021,1622.606641
Algeria,Cardiovascular diseases,2017,4528.098756
Algeria,Cardiovascular diseases,2018,4606.595991
Algeria,Cardiovascular diseases,2019,4664.746086
Algeria,Cardiovascular diseases,2020,4703.119079
Algeria,Cardiovascular diseases,2021,4728.868745
Algeria,Chronic respiratory diseases,2017,589.6833948
Algeria,Chronic respiratory diseases,2018,596.303165
Algeria,Chronic respiratory diseases,2019,602.1261195
Algeria,Chronic respiratory diseases,2020,607.7106165
Algeria,Chronic respiratory diseases,2021,610.0950248
Algeria,Diabetes and kidney diseases,2017,1335.006187
Algeria,Diabetes and kidney diseases,2018,1395.230461
Algeria,Diabetes and kidney diseases,2019,1449.163053
Algeria,Diabetes and kidney diseases,2020,1485.507667
Algeria,Diabetes and kidney diseases,2021,1528.101321
Algeria,Digestive diseases,2017,533.6801269
Algeria,Digestive diseases,2018,533.674932
Algeria,Digestive diseases,2019,533.1733096
Algeria,Digestive diseases,2020,532.5720042
Algeria,Digestive diseases,2021,532.5966688
Algeria,Enteric infections,2017,138.1024166
Algeria,Enteric infections,2018,132.8319111
Algeria,Enteric infections,2019,127.4532907
Algeria,Enteric infections,2020,121.8940668
Algeria,Enteric infections,2021,118.5304662
Algeria,HIV/AIDS and sexually transmitted infections,2017,66.35285721
Algeria,HIV/AIDS and sexually transmitted infections,2018,62.8506001
Algeria,HIV/AIDS and sexually transmitted infections,2019,59.48267327
Algeria,HIV/AIDS and sexually transmitted infections,2020,65.47075146
Algeria,HIV/AIDS and sexually transmitted infections,2021,63.39151786
Algeria,Maternal and neonatal disorders,2017,2571.761468
Algeria,Maternal and neonatal disorders,2018,2375.227568
Algeria,Maternal and neonatal disorders,2019,2176.893315
Algeria,Maternal and neonatal disorders,2020,1937.380968
Algeria,Maternal and neonatal disorders,2021,1764.178897
Algeria,Mental disorders,2017,2073.438451
Algeria,Mental disorders,2018,2074.362222
Algeria,Mental disorders,2019,2074.3951
Algeria,Mental disorders,2020,2279.580131
Algeria,Mental disorders,2021,2220.384
Algeria,Musculoskeletal disorders,2017,1851.261119
Algeria,Musculoskeletal disorders,2018,1869.250544
Algeria,Musculoskeletal disorders,2019,1886.685253
Algeria,Musculoskeletal disorders,2020,1900.731318
Algeria,Musculoskeletal disorders,2021,1916.690913
Algeria,Neglected tropical diseases and malaria,2017,69.41129824
Algeria,Neglected tropical diseases and malaria,2018,69.05115752
Algeria,Neglected tropical diseases and malaria,2019,68.56626283
Algeria,Neglected tropical diseases and malaria,2020,67.90387914
Algeria,Neglected tropical diseases and malaria,2021,67.4137351
Algeria,Neoplasms,2017,1088.22382
Algeria,Neoplasms,2018,1104.632421
Algeria,Neoplasms,2019,1118.810761
Algeria,Neoplasms,2020,1131.043698
Algeria,Neoplasms,2021,1142.696397
Algeria,Neurological disorders,2017,1182.089115
Algeria,Neurological disorders,2018,1186.823884
Algeria,Neurological disorders,2019,1190.394034
Algeria,Neurological disorders,2020,1190.419259
Algeria,Neurological disorders,2021,1190.351757
Algeria,Nutritional deficiencies,2017,393.8298865
Algeria,Nutritional deficiencies,2018,384.6814622
Algeria,Nutritional deficiencies,2019,376.9926419
Algeria,Nutritional deficiencies,2020,370.923467
Algeria,Nutritional deficiencies,2021,366.1727884
Algeria,Other infectious diseases,2017,261.0110705
Algeria,Other infectious diseases,2018,233.2595415
Algeria,Other infectious diseases,2019,208.7945511
Algeria,Other infectious diseases,2020,163.6749585
Algeria,Other infectious diseases,2021,129.3190047
Algeria,Other non-communicable diseases,2017,2910.91925
Algeria,Other non-communicable diseases,2018,2806.148096
Algeria,Other non-communicable diseases,2019,2692.282033
Algeria,Other non-communicable diseases,2020,2541.880484
Algeria,Other non-communicable diseases,2021,2442.315737
Algeria,Respiratory infections and tuberculosis,2017,711.0496331
Algeria,Respiratory infections and tuberculosis,2018,683.0558363
Algeria,Respiratory infections and tuberculosis,2019,651.8503691
Algeria,Respiratory infections and tuberculosis,2020,3176.160169
Algeria,Respiratory infections and tuberculosis,2021,3934.688167
Algeria,Self-harm and interpersonal violence,2017,311.3435863
Algeria,Self-harm and interpersonal violence,2018,304.7923057
Algeria,Self-harm and interpersonal violence,2019,287.4392467
Algeria,Self-harm and interpersonal violence,2020,278.2532041
Algeria,Self-harm and interpersonal violence,2021,272.1469731
Algeria,Sense organ diseases,2017,731.3082937
Algeria,Sense organ diseases,2018,737.848499
Algeria,Sense organ diseases,2019,745.7917472
Algeria,Sense organ diseases,2020,755.0023358
Algeria,Sense organ diseases,2021,758.8513497
Algeria,Skin and subcutaneous diseases,2017,392.7435313
Algeria,Skin and subcutaneous diseases,2018,393.6158852
Algeria,Skin and subcutaneous diseases,2019,394.7429916
Algeria,Skin and subcutaneous diseases,2020,395.9544258
Algeria,Skin and subcutaneous diseases,2021,396.7682795
Algeria,Substance use disorders,2017,219.8020168
Algeria,Substance use disorders,2018,219.3776958
Algeria,Substance use disorders,2019,217.7485023
Algeria,Substance use disorders,2020,215.4831001
Algeria,Substance use disorders,2021,214.5489242
Algeria,Transport injuries,2017,1411.05654
Algeria,Transport injuries,2018,1427.76751
Algeria,Transport injuries,2019,1363.379182
Algeria,Transport injuries,2020,1320.637649
Algeria,Transport injuries,2021,1312.47797
Algeria,Unintentional injuries,2017,962.4587377
Algeria,Unintentional injuries,2018,950.2989473
Algeria,Unintentional injuries,2019,931.8820867
Algeria,Unintentional injuries,2020,907.2033559
Algeria,Unintentional injuries,2021,905.8731289
American Samoa,Cardiovascular diseases,2017,6924.308921
American Samoa,Cardiovascular diseases,2018,7090.041698
American Samoa,Cardiovascular diseases,2019,7261.820964
American Samoa,Cardiovascular diseases,2020,7882.047357
American Samoa,Cardiovascular diseases,2021,7592.247135
American Samoa,Chronic respiratory diseases,2017,1124.26094
American Samoa,Chronic respiratory diseases,2018,1149.608983
American Samoa,Chronic respiratory diseases,2019,1173.190774
American Samoa,Chronic respiratory diseases,2020,1257.97257
American Samoa,Chronic respiratory diseases,2021,1226.038348
American Samoa,Diabetes and kidney diseases,2017,5476.824406
American Samoa,Diabetes and kidney diseases,2018,5656.761779
American Samoa,Diabetes and kidney diseases,2019,5843.89761
American Samoa,Diabetes and kidney diseases,2020,6302.12438
American Samoa,Diabetes and kidney diseases,2021,6256.548712
American Samoa,Digestive diseases,2017,865.87599
American Samoa,Digestive diseases,2018,879.2357915
American Samoa,Digestive diseases,2019,892.2709268
American Samoa,Digestive diseases,2020,958.7272423
American Samoa,Digestive diseases,2021,918.9566047
American Samoa,Enteric infections,2017,403.1008568
American Samoa,Enteric infections,2018,401.577764
American Samoa,Enteric infections,2019,398.7173779
American Samoa,Enteric infections,2020,418.4772452
American Samoa,Enteric infections,2021,398.2924183
American Samoa,HIV/AIDS and sexually transmitted infections,2017,254.8604164
American Samoa,HIV/AIDS and sexually transmitted infections,2018,260.5779109
American Samoa,HIV/AIDS and sexually transmitted infections,2019,259.6074628
American Samoa,HIV/AIDS and sexually transmitted infections,2020,258.3891086
American Samoa,HIV/AIDS and sexually transmitted infections,2021,255.9010024
American Samoa,Maternal and neonatal disorders,2017,1061.486419
American Samoa,Maternal and neonatal disorders,2018,1010.212095
American Samoa,Maternal and neonatal disorders,2019,960.9026487
American Samoa,Maternal and neonatal disorders,2020,967.976486
American Samoa,Maternal and neonatal disorders,2021,879.3414559
American Samoa,Mental disorders,2017,1429.138115
American Samoa,Mental disorders,2018,1440.512519
American Samoa,Mental disorders,2019,1451.547094
American Samoa,Mental disorders,2020,1481.670138
American Samoa,Mental disorders,2021,1565.960645
American Samoa,Musculoskeletal disorders,2017,1617.534144
American Samoa,Musculoskeletal disorders,2018,1649.53588
American Samoa,Musculoskeletal disorders,2019,1682.138631
American Samoa,Musculoskeletal disorders,2020,1727.742775
American Samoa,Musculoskeletal disorders,2021,1742.456623
American Samoa,Neglected tropical diseases and malaria,2017,140.4679277
American Samoa,Neglected tropical diseases and malaria,2018,148.9398301
American Samoa,Neglected tropical diseases and malaria,2019,153.0138871
American Samoa,Neglected tropical diseases and malaria,2020,150.3903063
American Samoa,Neglected tropical diseases and malaria,2021,146.3785439
American Samoa,Neoplasms,2017,3410.892435
American Samoa,Neoplasms,2018,3488.190632
American Samoa,Neoplasms,2019,3564.826044
American Samoa,Neoplasms,2020,3861.296562
American Samoa,Neoplasms,2021,3731.530176
American Samoa,Neurological disorders,2017,1130.349269
American Samoa,Neurological disorders,2018,1146.072195
American Samoa,Neurological disorders,2019,1160.164696
American Samoa,Neurological disorders,2020,1180.773822
American Samoa,Neurological disorders,2021,1186.886549
American Samoa,Nutritional deficiencies,2017,483.2011695
American Samoa,Nutritional deficiencies,2018,475.1829995
American Samoa,Nutritional deficiencies,2019,467.5120912
American Samoa,Nutritional deficiencies,2020,467.4403342
American Samoa,Nutritional deficiencies,2021,452.8992629
American Samoa,Other infectious diseases,2017,370.4557392
American Samoa,Other infectious diseases,2018,359.5306677
American Samoa,Other infectious diseases,2019,353.7023025
American Samoa,Other infectious diseases,2020,360.2700505
American Samoa,Other infectious diseases,2021,340.996752
American Samoa,Other non-communicable diseases,2017,1834.241303
American Samoa,Other non-communicable diseases,2018,1828.753353
American Samoa,Other non-communicable diseases,2019,1823.795178
American Samoa,Other non-communicable diseases,2020,1924.592831
American Samoa,Other non-communicable diseases,2021,1827.80449
American Samoa,Respiratory infections and tuberculosis,2017,1085.892195
American Samoa,Respiratory infections and tuberculosis,2018,1072.955209
American Samoa,Respiratory infections and tuberculosis,2019,1059.4846
American Samoa,Respiratory infections and tuberculosis,2020,1109.639358
American Samoa,Respiratory infections and tuberculosis,2021,1096.475374
American Samoa,Self-harm and interpersonal violence,2017,814.9362594
American Samoa,Self-harm and interpersonal violence,2018,817.4216329
American Samoa,Self-harm and interpersonal violence,2019,818.6196938
American Samoa,Self-harm and interpersonal violence,2020,868.9038595
American Samoa,Self-harm and interpersonal violence,2021,827.1732294
American Samoa,Sense organ diseases,2017,722.6710513
American Samoa,Sense organ diseases,2018,738.4064594
American Samoa,Sense organ diseases,2019,755.2741978
American Samoa,Sense organ diseases,2020,770.6215966
American Samoa,Sense organ diseases,2021,798.6547476
American Samoa,Skin and subcutaneous diseases,2017,877.7269819
American Samoa,Skin and subcutaneous diseases,2018,881.5821455
American Samoa,Skin and subcutaneous diseases,2019,883.7592751
American Samoa,Skin and subcutaneous diseases,2020,935.1988232
American Samoa,Skin and subcutaneous diseases,2021,883.2659967
American Samoa,Substance use disorders,2017,192.471824
American Samoa,Substance use disorders,2018,193.5461769
American Samoa,Substance use disorders,2019,195.605281
American Samoa,Substance use disorders,2020,202.1324652
American Samoa,Substance use disorders,2021,199.7802516
American Samoa,Transport injuries,2017,516.154175
American Samoa,Transport injuries,2018,515.6509921
American Samoa,Transport injuries,2019,521.0755238
American Samoa,Transport injuries,2020,551.7086564
American Samoa,Transport injuries,2021,518.6520834
American Samoa,Unintentional injuries,2017,1394.633349
American Samoa,Unintentional injuries,2018,1386.376436
American Samoa,Unintentional injuries,2019,1382.136895
American Samoa,Unintentional injuries,2020,1450.870985
American Samoa,Unintentional injuries,2021,1378.061893
Andorra,Cardiovascular diseases,2017,3530.487671
Andorra,Cardiovascular diseases,2018,3536.762659
Andorra,Cardiovascular diseases,2019,3507.724598
Andorra,Cardiovascular diseases,2020,3038.401718
Andorra,Cardiovascular diseases,2021,3092.971772
Andorra,Chronic respiratory diseases,2017,1177.521812
Andorra,Chronic respiratory diseases,2018,1183.105066
Andorra,Chronic respiratory diseases,2019,1184.593327
Andorra,Chronic respiratory diseases,2020,1086.903268
Andorra,Chronic respiratory diseases,2021,1101.583282
Andorra,Diabetes and kidney diseases,2017,1239.202223
Andorra,Diabetes and kidney diseases,2018,1273.875775
Andorra,Diabetes and kidney diseases,2019,1300.613127
Andorra,Diabetes and kidney diseases,2020,1230.550625
Andorra,Diabetes and kidney diseases,2021,1269.48751
Andorra,Digestive diseases,2017,911.8082648
Andorra,Digestive diseases,2018,914.6828937
Andorra,Digestive diseases,2019,915.0879572
Andorra,Digestive diseases,2020,813.7291492
Andorra,Digestive diseases,2021,819.5383413
Andorra,Enteric infections,2017,51.54607959
Andorra,Enteric infections,2018,46.36901971
Andorra,Enteric infections,2019,43.14380973
Andorra,Enteric infections,2020,41.38520511
Andorra,Enteric infections,2021,40.31100097
Andorra,HIV/AIDS and sexually transmitted infections,2017,19.78521103
Andorra,HIV/AIDS and sexually transmitted infections,2018,19.76730675
Andorra,HIV/AIDS and sexually transmitted infections,2019,19.79031315
Andorra,HIV/AIDS and sexually transmitted infections,2020,19.67089863
Andorra,HIV/AIDS and sexually transmitted infections,2021,19.52426464
Andorra,Maternal and neonatal disorders,2017,177.0835501
Andorra,Maternal and neonatal disorders,2018,172.8996994
Andorra,Maternal and neonatal disorders,2019,169.0476207
Andorra,Maternal and neonatal disorders,2020,164.859562
Andorra,Maternal and neonatal disorders,2021,153.1823938
Andorra,Mental disorders,2017,2381.614423
Andorra,Mental disorders,2018,2391.858856
Andorra,Mental disorders,2019,2399.269521
Andorra,Mental disorders,2020,2702.127351
Andorra,Mental disorders,2021,2663.661243
Andorra,Musculoskeletal disorders,2017,2672.431017
Andorra,Musculoskeletal disorders,2018,2705.446233
Andorra,Musculoskeletal disorders,2019,2737.33917
Andorra,Musculoskeletal disorders,2020,2762.016725
Andorra,Musculoskeletal disorders,2021,2795.674758
Andorra,Neglected tropical diseases and malaria,2017,4.300245322
Andorra,Neglected tropical diseases and malaria,2018,4.196370675
Andorra,Neglected tropical diseases and malaria,2019,4.109793112
Andorra,Neglected tropical diseases and malaria,2020,3.981457204
Andorra,Neglected tropical diseases and malaria,2021,3.925619898
Andorra,Neoplasms,2017,5725.161952
Andorra,Neoplasms,2018,5803.025259
Andorra,Neoplasms,2019,5863.075048
Andorra,Neoplasms,2020,5052.056769
Andorra,Neoplasms,2021,5126.938344
Andorra,Neurological disorders,2017,2123.625918
Andorra,Neurological disorders,2018,2132.388365
Andorra,Neurological disorders,2019,2139.516984
Andorra,Neurological disorders,2020,2088.969461
Andorra,Neurological disorders,2021,2112.791621
Andorra,Nutritional deficiencies,2017,78.38964009
Andorra,Nutritional deficiencies,2018,76.02201996
Andorra,Nutritional deficiencies,2019,73.7100546
Andorra,Nutritional deficiencies,2020,71.98779605
Andorra,Nutritional deficiencies,2021,74.96167526
Andorra,Other infectious diseases,2017,40.74465441
Andorra,Other infectious diseases,2018,40.15155768
Andorra,Other infectious diseases,2019,39.17686209
Andorra,Other infectious diseases,2020,34.44911267
Andorra,Other infectious diseases,2021,33.64423967
Andorra,Other non-communicable diseases,2017,1303.884559
Andorra,Other non-communicable diseases,2018,1306.299839
Andorra,Other non-communicable diseases,2019,1308.112932
Andorra,Other non-communicable diseases,2020,1287.353149
Andorra,Other non-communicable diseases,2021,1281.265452
Andorra,Respiratory infections and tuberculosis,2017,309.8161529
Andorra,Respiratory infections and tuberculosis,2018,307.4993152
Andorra,Respiratory infections and tuberculosis,2019,302.6070857
Andorra,Respiratory infections and tuberculosis,2020,2310.292842
Andorra,Respiratory infections and tuberculosis,2021,2016.282922
Andorra,Self-harm and interpersonal violence,2017,439.1796324
Andorra,Self-harm and interpersonal violence,2018,435.7355661
Andorra,Self-harm and interpersonal violence,2019,428.7936605
Andorra,Self-harm and interpersonal violence,2020,364.3699762
Andorra,Self-harm and interpersonal violence,2021,361.3248544
Andorra,Sense organ diseases,2017,729.9295497
Andorra,Sense organ diseases,2018,741.2600231
Andorra,Sense organ diseases,2019,753.2373835
Andorra,Sense organ diseases,2020,769.0752523
Andorra,Sense organ diseases,2021,781.475818
Andorra,Skin and subcutaneous diseases,2017,605.14275
Andorra,Skin and subcutaneous diseases,2018,605.5673784
Andorra,Skin and subcutaneous diseases,2019,605.467085
Andorra,Skin and subcutaneous diseases,2020,604.9072182
Andorra,Skin and subcutaneous diseases,2021,603.8896155
Andorra,Substance use disorders,2017,331.4376997
Andorra,Substance use disorders,2018,331.2885758
Andorra,Substance use disorders,2019,331.7068656
Andorra,Substance use disorders,2020,330.6004993
Andorra,Substance use disorders,2021,326.6530946
Andorra,Transport injuries,2017,774.5120424
Andorra,Transport injuries,2018,762.8834512
Andorra,Transport injuries,2019,753.7473621
Andorra,Transport injuries,2020,672.6074061
Andorra,Transport injuries,2021,668.8110274
Andorra,Unintentional injuries,2017,1626.530315
Andorra,Unintentional injuries,2018,1633.874848
Andorra,Unintentional injuries,2019,1643.391684
Andorra,Unintentional injuries,2020,1636.688158
Andorra,Unintentional injuries,2021,1650.948615
Angola,Cardiovascular diseases,2017,2806.577788
Angola,Cardiovascular diseases,2018,2809.910828
Angola,Cardiovascular diseases,2019,2830.730889
Angola,Cardiovascular diseases,2020,2846.401562
